day,amount,type
0,162,veg
1,37,veg
2,22,veg
4,11,veg
3,10,veg
6,9,veg
5,5,veg
20,4,veg
16,3,veg
7,3,veg
18,2,veg
9,2,veg
8,2,veg
11,2,veg
10,1,veg
14,1,veg
0,97,fruit
2,25,fruit
20,25,fruit
3,19,fruit
4,19,fruit
7,17,fruit
1,15,fruit
5,7,fruit
9,7,fruit
8,7,fruit
6,7,fruit
12,5,fruit
15,5,fruit
10,4,fruit
16,4,fruit
14,4,fruit
13,3,fruit
11,2,fruit
18,2,fruit
17,1,fruit
19,1,fruit
0,179,fruit
1,42,fruit
2,14,fruit
4,10,fruit
3,6,fruit
20,5,fruit
5,4,fruit
15,3,fruit
7,2,fruit
6,2,fruit
11,2,fruit
10,2,fruit
13,1,fruit
8,1,fruit
9,1,fruit
12,1,fruit
17,1,fruit
0,157,protein
1,29,protein
2,27,protein
3,16,protein
20,8,protein
4,7,protein
5,7,protein
6,5,protein
10,5,protein
7,3,protein
8,3,protein
19,2,protein
11,2,protein
13,2,protein
15,1,protein
9,1,protein
16,1,protein
